title,detail_url,timeShow,platformName
第一师十三团社区老年人日间照料中心建设项目招标公告,http://www.ggzy.gov.cn/information/html/a/660000/0101/202004/28/006613616f818477427a8700d4f0866e9df5.shtml,2020-04-28,新疆生产建设兵团公共资源交易中心
恩施州中心医院公共卫生临床中心施工图设计项目,http://www.ggzy.gov.cn/information/html/a/420000/0101/202004/28/00428b3fbccfa2a34c59af573ca2f5b48201.shtml,2020-04-28,恩施州电子交易平台
北碚区复兴街道“四好农村路”长寒路、太玻路、栀子支路、大万路改建工程招标文件,http://www.ggzy.gov.cn/information/html/a/500000/0105/202004/28/00506d20cfcf233a4fd3b011802f0e0bdd2b.shtml,2020-04-28,重庆市北碚区公共资源综合交易中心
平乡县固体废弃物资源化综合利用产业园项目图审中标结果公告,http://www.ggzy.gov.cn/information/html/a/130000/0202/202004/28/0013cf78d05f370140dfb1382bdaf00542f1.shtml,2020-04-28,邢台市公共资源交易中心
平乡县固体废弃物资源化综合利用产业园项目监理中标结果公告,http://www.ggzy.gov.cn/information/html/a/130000/0202/202004/28/001355f0eba5a0ff4ceca0bb8cceb9650ac7.shtml,2020-04-28,邢台市公共资源交易中心
平乡县固体废弃物资源化综合利用产业园项目设计中标结果公告,http://www.ggzy.gov.cn/information/html/a/130000/0202/202004/28/0013ecd4d06568664ae2931c64614e80002e.shtml,2020-04-28,邢台市公共资源交易中心
平乡县固体废弃物资源化综合利用产业园项目全过程跟踪审计中标结果公告,http://www.ggzy.gov.cn/information/html/a/130000/0202/202004/28/00139b2450f727ed4e8b9811b7a87e13ecb9.shtml,2020-04-28,邢台市公共资源交易中心
平乡县固体废弃物资源化综合利用产业园项目（PPP项目社会资本方采购）中标结果公告,http://www.ggzy.gov.cn/information/html/a/130000/0202/202004/28/001373db33bcd88f478a920aa1dc221265e5.shtml,2020-04-28,邢台市公共资源交易中心
平乡县壮大村级集体经济仓库建设项目（一期）二标段中标公示,http://www.ggzy.gov.cn/information/html/a/130000/0104/202004/28/0013fb3ec803facc43b6bf5957bd013feb84.shtml,2020-04-28,邢台市公共资源交易中心
平乡县壮大村级集体经济仓库建设项目（一期）一标段中标公示,http://www.ggzy.gov.cn/information/html/a/130000/0104/202004/28/00138a538f21f1a44c0c9fd3dcea97a61cb7.shtml,2020-04-28,邢台市公共资源交易中心
Z1309212000071001沧县教育局沧县薄改图书采购公开招标结果公告,http://www.ggzy.gov.cn/information/html/a/130000/0202/202004/28/0013b1a737cc32e64e978ad6701d90821f62.shtml,2020-04-28,
十六团社区老年人日间照料中心建设项目招标公告,http://www.ggzy.gov.cn/information/html/a/660000/0101/202004/28/00667452a420b6d34dc5945bd708e49e07c9.shtml,2020-04-28,新疆生产建设兵团公共资源交易中心
北碚区复兴街道“四好农村路”长寒路、太玻路、栀子支路、大万路改建工程招标文件,http://www.ggzy.gov.cn/information/html/a/500000/0105/202004/28/0050b3ff5432cad647f49c3d82a36c0d6eaa.shtml,2020-04-28,重庆市北碚区公共资源综合交易中心
罗星街道永福花园小区党建客厅项目,http://www.ggzy.gov.cn/information/html/a/330000/9001/202004/28/0033ebab1961989d419e998056e72977cc6e.shtml,2020-04-28,嘉兴市公共资源交易中心
宁东基地1号综合渣场升级改造一期工程施工补充公告,http://www.ggzy.gov.cn/information/html/a/640000/0101/202004/28/006498fe78884ea04c8a8e4de89e282f66ed.shtml,2020-04-28,宁夏公共资源交易服务平台
江西省阿里云大数据人才培养基地（科创城一期）建设项目（西区）资格预审文件,http://www.ggzy.gov.cn/information/html/a/360000/0105/202004/28/0036e6d48a2690c1441886b85e27ff839500.shtml,2020-04-28,上饶市公共资源交易中心
开化县马金城镇建设开发有限公司位于马金镇文欣苑共54套联排房公开出售挂牌出让成交结果公示,http://www.ggzy.gov.cn/information/html/a/330000/9002/202004/28/00335dd37db75f97470b9617ae3f84031da0.shtml,2020-04-28,衢州市公共资源交易监管系统
扶绥县岜盆乡弄洞村、姑豆村和渠黎镇碧髻村、渠新村、渠凤村、大陵村村庄规划项目（FSZC2020-G3-00126-001）招标公告,http://www.ggzy.gov.cn/information/html/a/450000/0201/202004/28/00455ddef51c58174e4dbcf89783aeb05af8.shtml,2020-04-28,崇左市电子招投标交易平台
360481202002190103的澄清文件,http://www.ggzy.gov.cn/information/html/a/360000/0105/202004/28/0036489c8a2af0394e3ea503e544415cc343.shtml,2020-04-28,九江市公共资源交易中心
普陀医院南门西侧一间90㎡房屋招租交易公告,http://www.ggzy.gov.cn/information/html/a/330000/9001/202004/28/003309e6afa3d90347ec931a9519a8d743f8.shtml,2020-04-28,舟山市电子招投标平台
E3213010313103922001001的招标文件,http://www.ggzy.gov.cn/information/html/a/320000/0105/202004/28/003292cd6b09761d4570ab58c933c707e11d.shtml,2020-04-28,
应急管理部南方航空护林总站丽江站2020年购买直升机航空应急救援服务项目成交公告,http://www.ggzy.gov.cn/information/html/a/530000/0202/202004/28/0053fd466777bdea456d8548c19a64ad4b08.shtml,2020-04-28,
永平县水泄彝族乡中心学校2020年食材采购项目(二次),http://www.ggzy.gov.cn/information/html/a/530000/0201/202004/28/0053bd5c08a2ddc6415f903eb346a732886b.shtml,2020-04-28,
应急管理部南方航空护林总站保山站大理基地2020年购买M-26直升机航空应急救援服务项目成交公告,http://www.ggzy.gov.cn/information/html/a/530000/0202/202004/28/00533c102c3e89e84eb189286056364b7fc9.shtml,2020-04-28,
云南省公路局2020年公路小修保养沥青采购项目中标公告,http://www.ggzy.gov.cn/information/html/a/530000/0202/202004/28/00531b2500be75ce441980fff8aada77d6db.shtml,2020-04-28,
江永县农村宅基地和集体建设用地房地一体确权登记颁证技术服务采购项目,http://www.ggzy.gov.cn/information/html/a/430000/0201/202004/28/0043ea2c70fa19a74cf8a4fdda16d8f39263.shtml,2020-04-28,
同心县2020年老旧小区住宅楼改造建设项目中标公示,http://www.ggzy.gov.cn/information/html/a/640000/0104/202004/28/006492f511c004674cd3a681715a1db5d77a.shtml,2020-04-28,宁夏公共资源交易服务平台
朝阳县木头城子镇新村2020年“一事一议”村内户外道路工程,http://www.ggzy.gov.cn/information/html/a/210000/0101/202004/28/00212efcadd690b54efdb9e3a67990fa28c2.shtml,2020-04-28,朝阳市公共资源交易系统
容城县城乡环卫一体化项目更正公告（2,http://www.ggzy.gov.cn/information/html/a/130000/0204/202004/28/001388e8b66615284fa5b130b8eacb996323.shtml,2020-04-28,
宿迁港泗阳港区东作业区综合服务中心道路及配套工程招标公告（资格后审）,http://www.ggzy.gov.cn/information/html/a/320000/0101/202004/28/00321d9d33c5a6814608be5b89aa447f8048.shtml,2020-04-28,
沧州市京澳线G105海天线立交至北董段预防养护工程,http://www.ggzy.gov.cn/information/html/a/130000/0105/202004/28/001373a602e17662437abb0b3b212b2f1573.shtml,2020-04-28,
乐清市芙蓉镇上垟村柴庆弟屋侧泥石流地质灾害治理工程招标公告,http://www.ggzy.gov.cn/information/html/a/330000/9001/202004/28/0033662f6d08f44e4d83980cfee43f79d454.shtml,2020-04-28,温州市公共资源交易平台
聊城市委办公楼加装电梯钢结构井道及装修项目中标公示,http://www.ggzy.gov.cn/information/html/a/370000/0202/202004/28/0037d52184c2151247b28348fa9de911fda2.shtml,2020-04-28,聊城市公共资源电子交易平台
Z1310002000682001廊坊市安次区水利局关于域内河渠一河一策及一河一档编制项目结果公告,http://www.ggzy.gov.cn/information/html/a/130000/0202/202004/28/0013cc7cdcc23e4f465cad9172655485ef26.shtml,2020-04-28,
第七师2020年度土地审批项目前期勘测定界、地价评估技术服务机构采购项目招标公告,http://www.ggzy.gov.cn/information/html/a/660000/0201/202004/28/00660642ab18a0da45b39ba35600d37bc547.shtml,2020-04-28,新疆生产建设兵团公共资源交易中心
沙地居委会25-3号宗地成交公示,http://www.ggzy.gov.cn/information/html/a/420000/0302/202004/28/0042b6e29e7289174e5c82dd00517c26cfd1.shtml,2020-04-28,恩施州国土资源网上交易平台
[单轮竞价]巴中市农业局空调机采购(巴中竞采【2020】71-1号),http://www.ggzy.gov.cn/information/html/a/510000/0202/202004/28/0051d0a8a7a0091749b0b3574a21746a3132.shtml,2020-04-28,
上林县农村集体产权制度改革技术服务项目（项目编号：SLZC2019-C3-0310-KWZB）竞争性磋商公告,http://www.ggzy.gov.cn/information/html/a/450000/0201/202004/28/0045db595691a39f48b0b730fa1ac00a5cca.shtml,2020-04-28,南宁市公共资源交易中心
空港新城档案鉴别整理及数字化服务(19C0265)采购更正公告,http://www.ggzy.gov.cn/information/html/a/500000/0204/202004/28/0050a40a76f5597142cd835dd74db339aec4.shtml,2020-04-28,重庆市公共资源交易服务平台
"[单轮竞价]巴中市委政法委员会计算机(台式电脑
)、多功能一体机、笔记本电脑
、平板式微型计算机采购(巴中竞采【2020】70-1号)",http://www.ggzy.gov.cn/information/html/a/510000/0202/202004/28/005105a77f00aa7941f08f1a4b2429bb69e3.shtml,2020-04-28,
金乡县锦绣家园小区前期物业管理项目,http://www.ggzy.gov.cn/information/html/a/370000/0105/202004/28/0037c6a23151b2e140c19fb0610db2bd4806.shtml,2020-04-28,济宁市公共资源交易服务平台
德保县多旁水库输水隧洞及泄洪工程1标剩余工程的澄清文件,http://www.ggzy.gov.cn/information/html/a/450000/0105/202004/28/0045acdb7a0e5ee34a01a1be3ed8fca8ec38.shtml,2020-04-28,广西公共资源交易平台
金乡县锦绣家园小区前期物业管理项目&nbsp;招标公告,http://www.ggzy.gov.cn/information/html/a/370000/0101/202004/28/003747263d6f99af4194b64a2cdcf6bbc879.shtml,2020-04-28,济宁市公共资源交易服务平台
瓯海区梧田第一中学STEAM空间装修工程项目的招标公告,http://www.ggzy.gov.cn/information/html/a/330000/9001/202004/28/0033aa72d96037114831923c362cdf057ac8.shtml,2020-04-28,温州市公共资源交易平台
同心县第二生活垃圾卫生填埋场工程设计中标公示,http://www.ggzy.gov.cn/information/html/a/640000/0104/202004/28/006445418a79ee9f48ddbc5284068327d51c.shtml,2020-04-28,宁夏公共资源交易服务平台
沧州市京澳线G105海天线立交至北董段预防养护工程,http://www.ggzy.gov.cn/information/html/a/130000/0105/202004/28/0013a93bf9d4f6dc4b20ac5551bc3446c464.shtml,2020-04-28,
北镇市畜禽粪污资源化利用监理项目二期,http://www.ggzy.gov.cn/information/html/a/210000/0101/202004/28/002113a14a9097804fb29356f9fbddc8459e.shtml,2020-04-28,锦州市公共资源平台
沙地居委会39-3号宗地成交公示,http://www.ggzy.gov.cn/information/html/a/420000/0302/202004/28/004233a5f8700b94448184c8ec42b442053e.shtml,2020-04-28,恩施州国土资源网上交易平台
E3213010313103920001001的招标文件,http://www.ggzy.gov.cn/information/html/a/320000/0105/202004/28/0032f5901db30cdc4d5a87ac5b52be15d431.shtml,2020-04-28,
蔷薇河综合整治项目10KV配电工程招标\澄清文件,http://www.ggzy.gov.cn/information/html/a/320000/0105/202004/28/003267cf11d280014bb0b558b0a1cffc8c68.shtml,2020-04-28,连云港建设工程网上招投标系统
[单轮竞价]巴中市自然资源和规划局打印设备、扫描仪采购(巴中竞采【2020】77-1号),http://www.ggzy.gov.cn/information/html/a/510000/0201/202004/28/0051fcde2b4d78ba456282e79d6d8fe810d5.shtml,2020-04-28,
[A3311011160003941]飞鹤大厦街头绿地改造工程.LSZF,http://www.ggzy.gov.cn/information/html/a/330000/0105/202004/28/003303b1ca50091c4554ab062519e7e36609.shtml,2020-04-28,丽水市公共资源电子交易平台
2019-11-030700000000000000关于绍兴市医疗保障局绍兴市大病保险服务业务项目的合同,http://www.ggzy.gov.cn/information/html/a/330000/0203/202004/28/0033c8e505cb1e224c4a9cf757a58f224a1f.shtml,2020-04-28,绍兴市公共资源交易中心交易平台
镇海新城幼儿园厨房设备采购项目公开招标采购公告,http://www.ggzy.gov.cn/information/html/a/330000/9001/202004/28/0033a4fa2930dbb14d35aa92c0a5be18f838.shtml,2020-04-28,宁波市公共资源网上交易暨电子检察系统
市中心城区建成区雨污系统改造提升项目（新建管网及非开挖修复）施工,http://www.ggzy.gov.cn/information/html/a/520000/0104/202004/14/0052a99e20ea8e0c41f4a4469685f0742379.shtml,2020-04-28,六盘水市公共资源交易中心
市中心城区建成区雨污系统改造提升项目（新建管网及非开挖修复）&nbsp;监理,http://www.ggzy.gov.cn/information/html/a/520000/0104/202004/20/0052561e1cd7999040c39bc4c2eb4866b392.shtml,2020-04-28,六盘水市公共资源交易中心
六盘水市钟山区夜景照明工程施工招标中标公示,http://www.ggzy.gov.cn/information/html/a/520000/0104/202004/23/0052d0ef36ef08b44ca686b539cb53209d0f.shtml,2020-04-28,六盘水市公共资源交易中心
理县特色种养植小区建设项目,http://www.ggzy.gov.cn/information/html/a/510000/0101/202004/28/00517f51a2b940d047c38e4a9449cf97568e.shtml,2020-04-28,1.阿坝州工程建设项目电子交易系统 2.阿坝州政府采购电子交易系统 3.阿坝州国有产权和土地矿权电子交易系统 4.阿坝州中介机构信用系统 5.阿坝州政府采购网上竞价系统
同心县棚户区改造配套环卫设施建设工程设计中标公示,http://www.ggzy.gov.cn/information/html/a/640000/0104/202004/28/0064cfb0fa7a61684ba69b0da8b1d4b1f61a.shtml,2020-04-28,宁夏公共资源交易服务平台
怀来县委宣传部葡萄产业新闻宣传项目中标公告,http://www.ggzy.gov.cn/information/html/a/130000/0202/202004/28/0013d81065b5e8e14cbf854bc3061b479656.shtml,2020-04-28,
Z1302072000642501龙泉河西电路至码头段河槽边坡防护工程结果公告,http://www.ggzy.gov.cn/information/html/a/130000/0202/202004/28/00137af822a58d3d4461abd974413dc248d9.shtml,2020-04-28,唐山市公共资源交易中心
南皮县2019年潞灌乡高标准农田建设项目,http://www.ggzy.gov.cn/information/html/a/130000/0105/202004/28/0013e59a8daedb64450bb6319d7c30ce4d81.shtml,2020-04-28,
研发场所维修、装修增做施工-开标记录,http://www.ggzy.gov.cn/information/html/a/320000/0102/202004/28/0032c36eb42da5e64449bbd9efa4b61f38b0.shtml,2020-04-28,南通市电子交易平台
店口镇湖西社区五星三A创建村庄整治工程-3标（施工）,http://www.ggzy.gov.cn/information/html/a/330000/9001/202004/28/003382f1e821c37b46adba5e94258247bdd7.shtml,2020-04-28,绍兴市公共资源交易中心交易平台
缙云县浣溪小流域（浣溪、东山、五里碑三条小流域）水土流失综合治理项目,http://www.ggzy.gov.cn/information/html/a/330000/9002/202004/28/00337f6e499954414379852b0c92715b17cc.shtml,2020-04-28,丽水市公共资源电子交易平台
黑山县2018年畜禽粪污资源化利用整县推进项目胡家镇畜禽粪便集中处理中心设备采购及安装,http://www.ggzy.gov.cn/information/html/a/210000/0101/202004/28/0021d2922307491a462c81db7ae741b2a3a1.shtml,2020-04-28,锦州市公共资源平台
委托常年法律顾问合同,http://www.ggzy.gov.cn/information/html/a/420000/0203/202004/28/0042a001342995844e40a24ce0cfff715fcb.shtml,2020-04-28,湖北省政府采购网
甘肃省妇女儿童医疗综合体项目室内净化工程,http://www.ggzy.gov.cn/information/html/a/620000/0106/202004/28/006228e2324282164b519d6546e4da9e9e43.shtml,2020-04-28,甘肃省公共资源交易电子服务系统v2.0
江夏区城管执法局文印费,http://www.ggzy.gov.cn/information/html/a/420000/0203/202004/28/004223c99e400e694b6f84700b8e04c68e84.shtml,2020-04-28,湖北省政府采购网
乡道崔戴线改造工程施工及监理,http://www.ggzy.gov.cn/information/html/a/130000/0105/202004/28/00130781ec7b390b42ecae4115c15b0afd5d.shtml,2020-04-28,
滨湖新区污水厂扩容提标项目,http://www.ggzy.gov.cn/information/html/a/130000/0105/202004/28/00133e2ae4fae28c432dbf18b46f9df8a51a.shtml,2020-04-28,
海安市人大预算监督联网系统项目单一来源采购邀请公示,http://www.ggzy.gov.cn/information/html/a/320000/0201/202004/28/00328fe4d126a4f04f2e813f39cda7911666.shtml,2020-04-28,南通市电子交易平台
延安供电分公司生产调度楼项目弱电工程施工招标（二次）,http://www.ggzy.gov.cn/information/html/a/610000/0101/202004/28/00614f15b27d49374159bd971c5179716894.shtml,2020-04-28,全国公共资源交易平台（陕西省）
