title,score,info
香水,8.4,一个单凭体香达到高潮的男人。
房间,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
一个叫欧维的男人决定去死,8.8,惠及一生的美丽。
浪潮,8.7,世界离独裁只有五天。
朗读者,8.5,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。
恐怖游轮,8.4,不要企图在重复中寻找已经失去的爱。
忠犬八公物语,9.1,养狗三日，便会对你终其一生。
完美陌生人,8.5,来啊，互相伤害啊！
魔女宅急便,8.5,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
可可西里,8.7,坚硬的信仰。
哪吒闹海,8.9,想你时你在闹海。
战争之王,8.6,做一颗让别人需要你的棋子。
谍影重重,8.5,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
一次别离,8.7,只有有信仰的人才能说出事实真相。
谍影重重2,8.6,谁说王家卫镜头很晃？
牯岭街少年杀人事件,8.8,弱者送给弱者的一刀。
地球上的星星,8.9,天使保护事件始末。
黑客帝国3：矩阵革命,8.6,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
追随,8.9,诺兰的牛逼来源于内心散发出的恐惧。
海街日记,8.7,是枝裕和的家庭习作。
撞车,8.6,天使与魔鬼的冲撞。
惊魂记,8.9,故事的反转与反转，分裂电影的始祖。
青蛇,8.5,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
再次出发之纽约遇见你,8.5,爱我就给我看你的播放列表。
梦之安魂曲,8.7,一场没有春天的噩梦。
小萝莉的猴神大叔,8.5,宝莱坞的萝莉与大叔。
步履不停,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
新龙门客栈,8.5,嬉笑怒骂，调风动月。
源代码,8.4,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
三块广告牌,8.7,无
终结者2：审判日,8.6,少见的超越首部的续集，动作片中的经典。
东京物语,9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
初恋这件小事,8.3,黑小鸭速效美白记。
疯狂的石头,8.3,中国版《两杆大烟枪》。
爱在午夜降临前,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
城市之光,9.3,永远的小人物，伟大的卓别林。
无耻混蛋,8.5,昆汀同学越来越变态了，比北野武还杜琪峰。
绿里奇迹,8.7,天使暂时离开。
末路狂花,8.7,没有了退路，只好飞向自由。
这个男人来自地球,8.5,科幻真正的魅力不是视觉效果能取代的。
E.T. 外星人,8.5,生病的E.T.皮肤的颜色就像柿子饼。
勇闯夺命岛,8.6,类型片的极致。
彗星来的那一夜,8.4,小成本大魅力。
秒速5厘米,8.3,青春就是放弃和怀念。
变脸,8.4,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
血钻,8.6,每个美丽事物背后都是滴血的现实。
黄金三镖客,9.1,最棒的西部片。
发条橙,8.5,我完全康复了。
聚焦,8.8,新闻人的理性求真。
卡萨布兰卡,8.6,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。
碧海蓝天,8.7,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
非常嫌疑犯,8.6,我不信仰上帝，但我敬畏上帝。
美国丽人,8.5,每个人的内心都是深不可测的大海。
国王的演讲,8.3,皇上无话儿。
天书奇谭,9.1,传奇的年代，醉人的童话。
黑鹰坠落,8.6,还原真实而残酷的战争。
我爱你,9.0,你要相信，这世上真的有爱存在，不管在什么年纪
千钧一发,8.7,一部能引人思考的科幻励志片。
2001太空漫游,8.7,现代科幻电影的开山之作，最伟大导演的最伟大影片。
海盗电台,8.6,生命不止，摇滚不死。
海蒂和爷爷,9.0,无
荒野生存,8.6,出门必备：本草纲目。
遗愿清单,8.5,用剩余不多的时间，去燃烧整个生命。
英国病人,8.5,In memory love lives forever
荒岛余生,8.5,一个人的独角戏。
勇士,8.9,热血沸腾，相当完美的娱乐拳击大餐。
枪火,8.7,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
迁徙的鸟,9.1,最美的飞翔。
攻壳机动队,8.9,上承《银翼杀手》，下启《黑客帝国》。
